fuel_type_code,station_name,street_address,intersection_directions,city,state,zip,plus4,station_phone,status_code,expected_date,groups_with_access_code,access_days_time,cards_accepted,bd_blends,ng_fill_type_code,ng_psi,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,ev_other_info,ev_network,ev_network_web,geocode_status,latitude,longitude,date_last_confirmed,id,updated_at,owner_type_code,federal_agency_id,federal_agency_name,open_date,hydrogen_status_link,ng_vehicle_class,lpg_primary,e85_blender_pump,ev_connector_types,country,intersection_directions_french,access_days_time_french,bd_blends_french,groups_with_access_code_french,hydrogen_is_retail,access_code,access_detail_code,federal_agency_code,facility_type,cng_dispenser_num,cng_on_site_renewable_source,cng_total_compression_capacity,cng_storage_capacity,lng_on_site_renewable_source,e85_other_ethanol_blends,ev_pricing,ev_pricing_french,lpg_nozzle_types,hydrogen_pressures,hydrogen_standards,cng_fill_type_code,cng_psi,cng_vehicle_class,lng_vehicle_class,ev_on_site_renewable_source,georeference,location
ELEC,COLGATE LALLY LANE 1,Lally Ln,,Hamilton,NY,13346,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.817555,-75.539265,2022-03-29,162445,2022-03-29T00:38:17,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-75.539265 42.817555),POINT(-75.539265 42.817555)
ELEC,799 SENECA STATION 9,799 Seneca St,,Buffalo,NY,14210,,888-758-4389,E,,Public,Mon 5:00pm - 10:00pm; Tue 5:00pm - 10:00pm; Wed 5:00pm - 10:00pm; Thu 5:00pm - 10:00pm; Fri 5:00pm - 10:00pm; Sat 8:00am - 10:00pm; Sun 8:00am - 10:00pm,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.875123,-78.847439,2022-03-29,191251,2022-03-29T00:38:17,,,,2021-06-19,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-78.847439 42.875123),POINT(-78.847439 42.875123)
ELEC,Momentive,260 Hudson River Rd,,Waterford,NY,12188,,866-816-7584,E,,Public,24 hours daily,,,,,,1,,,EV Connect,http://evconnect.com/,GPS,42.817808,-73.666527,2020-04-08,123090,2021-03-11T23:22:17,P,,,2019-04-01,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,POINT (-73.6665266 42.8178075999999),POINT(-73.666527 42.817808)
ELEC,"GARDEN CHARGERS JOVIA #2",1000 Corporate Dr,,Westbury,NY,11590,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.740106,-73.601104,2022-03-29,174506,2022-03-29T00:38:17,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.601104 40.740106),POINT(-73.601104 40.740106)
ELEC,NATIONAL GRID BUFFALO ZOO,300 Parkside Ave,,Buffalo,NY,14214,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.937071,-78.851964,2022-03-29,162212,2022-03-29T00:38:17,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-78.851964 42.937071),POINT(-78.851964 42.937071)
ELEC,STONY BROOK UNV ENGINEERING,Engineering Dr,,Stony Brook,NY,11790,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.912355,-73.125968,2022-03-29,169335,2022-03-29T00:38:17,,,,2020-11-19,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.125968 40.912355),POINT(-73.125968 40.912355)
ELEC,VERONA LA QUINTA 1,5390 Willow Pl,,Verona,NY,13478,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.122160,-75.592600,2022-03-29,181238,2022-03-29T00:38:17,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-75.5926 43.12216),POINT(-75.592600 43.122160)
ELEC,OSSINING TOWN LOUIS ENGEL,Louis Engel Park (Waterfront Park) 161-185 We,,Ossining,NY,10562,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.156094,-73.869640,2022-03-29,162297,2022-03-29T00:38:17,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.86964 41.156094),POINT(-73.869640 41.156094)
ELEC,Parkright 738 Greenwich Street - Tesla Destination,738 Greenwich St,,New York,NY,10014,,212-247-7303  877-798-3752,E,,Public,24 hours daily; see valet for access,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.735165,-74.007231,2020-11-03,115182,2021-03-11T23:22:17,P,,,2016-08-15,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,POINT (-74.007231 40.735165),POINT(-74.007231 40.735165)
ELEC,RCP MAIN PARKING,4254 NY-43,,Wynantskill,NY,12198,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.653034,-73.652079,2022-03-29,196298,2022-03-29T00:38:17,,,,2021-09-24,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.652079 42.653034),POINT(-73.652079 42.653034)
ELEC,WARRENCOUNTY DPW 3,1348 U.S. 9,,Lake George,NY,12845,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.359019,-73.701171,2022-03-29,150257,2022-03-29T00:38:17,,,,2019-12-17,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.701171 43.359019),POINT(-73.701171 43.359019)
ELEC,WYOMING COUNTY STATION 1,23 W Buffalo St,,Warsaw,NY,14569,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.740624,-78.133705,2022-03-29,162368,2022-03-29T00:38:17,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-78.133705 42.740624),POINT(-78.133705 42.740624)
ELEC,GGMC Parking 75 Smith St Garage - Tesla Destination,75 Smith St,,Brooklyn,NY,11201,,718-643-0593  877-798-3752,E,,Public,24 hours daily; see valet for access,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.688799,-73.988642,2020-11-03,114913,2021-03-11T23:22:17,P,,,2016-01-01,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,POINT (-73.988642 40.688799),POINT(-73.988642 40.688799)
ELEC,PRESHYUN PRESTIGE NONGW2,768 E Chester St,,Kingston,NY,12401,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.957714,-73.990067,2022-03-29,202247,2022-03-29T00:38:17,,,,2021-12-09,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.990067 41.957714),POINT(-73.990067 41.957714)
ELEC,NATIONAL GRID RIVERVIEW SOLAR,600 Riverwalk Pkwy,,Tonawanda,NY,14150,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.000068,-78.910950,2022-03-29,162247,2022-03-29T00:38:17,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-78.91095 43.000068),POINT(-78.910950 43.000068)
ELEC,Village of Spencerport - Town Hall,27 West Ave,Located behind the Village office at South Union Street (Rt. 259),Spencerport,NY,14559,,585-352-4771,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,GPS,43.191311,-77.801933,2022-03-07,63140,2022-03-07T19:49:53,LG,,,2014-07-20,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,POINT (-77.801933 43.191311),POINT(-77.801933 43.191311)
ELEC,"Site Centers The Hub (Hempstead, NY)",132-178 Fulton Ave,,Hempstead,NY,11550,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,40.706011,-73.630952,2022-03-29,211861,2022-03-29T04:34:23,,,,2022-03-17,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.630952 40.706011),POINT(-73.630952 40.706011)
ELEC,RRH RIEDMAN CANP1,100 Kings Hwy S,,Rochester,NY,14617,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.201813,-77.574597,2022-03-29,173967,2022-03-29T00:38:17,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-77.574597 43.201813),POINT(-77.574597 43.201813)
ELEC,Adirondack Pub & Brewery,33 Canada St,,Lake George,NY,12845,,866-816-7584,E,,Public - Credit card at all times,24 hours daily; Also accepts Paypal,A D M V,,,,,4,,,EV Connect,http://evconnect.com/,GPS,43.418575,-73.713812,2020-04-08,155025,2021-03-11T23:22:17,P,,,2019-08-07,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,BREWERY_DISTILLERY_WINERY,,,,,,,,,,,,,,,,,POINT (-73.7138123 43.4185749),POINT(-73.713812 43.418575)
ELEC,COLE GROUP COLE GROUP 2,12 Doorstone Dr,,Latham,NY,12110,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.745613,-73.772060,2022-03-29,154705,2022-03-29T00:38:17,,,,2020-03-25,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.77206 42.745613),POINT(-73.772060 42.745613)
ELEC,CITY AMSTERDAM EV4,117 Hewitt Street Shuttleworth Park,,Amsterdam,NY,12010,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.960309,-74.172250,2022-03-29,186156,2022-03-29T00:38:17,,,,2021-03-13,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-74.17225 42.960309),POINT(-74.172250 42.960309)
ELEC,VANKAY PUBLIC STATION 2,5 McCrea Hill Rd,,Ballston Spa,NY,12020,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.966560,-73.857687,2022-03-29,186633,2022-03-29T00:38:17,,,,2021-03-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.857687 42.96656),POINT(-73.857687 42.966560)
ELEC,iPark 400 E 85th St - Tesla Destination,400 E 85th St,,Manhattan,NY,10028,,212-650-1683  877-798-3752,E,,Public,24 hours daily; pay lot; see valet for access,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.776008,-73.949934,2020-11-03,122489,2021-03-11T23:22:17,P,,,2019-03-01,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,POINT (-73.949934 40.776008),POINT(-73.949934 40.776008)
ELEC,"TWN POUND RIDGE STATION #1",80 Westchester Ave,,Pound Ridge,NY,10576,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.190993,-73.553184,2022-03-29,188058,2022-03-29T00:38:17,,,,2021-04-28,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.553184 41.190993),POINT(-73.553184 41.190993)
ELEC,Shults Nissan,311 Fluvanna Ave,,Jamestown,NY,14701,,716-484-2780,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,42.115661,-79.253776,2020-06-09,49932,2021-03-11T23:22:17,P,,,2012-10-25,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,POINT (-79.253776 42.115661),POINT(-79.253776 42.115661)
ELEC,Travelers Parking,160 W 10th Street,Located between 7th Ave & Waverly Place. Attendant will assist in charging vehicle.  Parking rates apply. Inquire within.,New York,NY,10014,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,1,,,Blink Network,http://www.blinkcharging.com/,GPS,40.735094,-74.001870,2022-03-29,187817,2022-03-29T02:05:23,,,,2021-04-20,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Level 2: $0.59 per kWh,,,,,,,,,,POINT (-74.00187 40.735094),POINT(-74.001870 40.735094)
ELEC,ROCKLAND COUNTY STATION 2,100 Baron Court,,Monsey,NY,10952,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.105846,-74.069285,2022-03-29,181699,2022-03-29T00:38:17,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-74.069285 41.105846),POINT(-74.069285 41.105846)
ELEC,TCR TOWNE EV STATION 2,12 California ave,,Albany,NY,12205,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.704044,-73.813849,2022-03-29,181866,2022-03-29T00:38:17,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.813849 42.704044),POINT(-73.813849 42.704044)
ELEC,24 STATE STREET PITTSFORD,14 State St,,Pittsford,NY,14534,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.091210,-77.514398,2022-03-29,162347,2022-03-29T00:38:17,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-77.514398 43.09121),POINT(-77.514398 43.091210)
ELEC,ULSTER COUNTY DSS 2,1 Development Court,,Kingston,NY,12401,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.947950,-73.996324,2022-03-29,180145,2022-03-29T00:38:17,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.996324 41.94795),POINT(-73.996324 41.947950)
ELEC,Staten Island Mall - Richmond Ave Entrance,2655 Richmond Ave,,Staten Island,NY,10314,,888-264-2208,E,,Public,6am-12am daily,,,,,,2,,,Volta,https://voltacharging.com/,GPS,40.581751,-74.168466,2021-04-08,166729,2022-02-10T19:42:29,P,,,2020-08-31,,,,,J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,,,,,,,,,,,POINT (-74.168466 40.581751),POINT(-74.168466 40.581751)
E85,ShopRite,1730 Central Ave,,Colonie,NY,12205,,518-250-5072,E,,Public,24 hours daily,A Cash CREDIT D Debit M V,,,,,,,,,,200-9,42.724590,-73.843493,2022-01-10,203058,2022-03-08T23:30:51,P,,,2021-12-27,,,,true,,US,,,,Public,,public,,,GROCERY,,,,,,"[""E15""]",,,,,,,,,,,POINT (-73.843493 42.72459),POINT(-73.843493 42.724590)
ELEC,S.A.N.Y. STATION TWO,1001 Park Ave,,Syracuse,NY,13204,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.051903,-76.180115,2022-03-29,180984,2022-03-29T00:38:17,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-76.180115 43.051903),POINT(-76.180115 43.051903)
ELEC,COMFORT- CHARGE STATION 1,4054 ny-9l,,Lake George,NY,12845,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.411860,-73.708450,2022-03-29,170683,2022-03-29T00:38:17,,,,2020-12-31,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.70845 43.41186),POINT(-73.708450 43.411860)
ELEC,DEWITT EV 1 CHARGEPOINT,5400 Butternut Drive,,East Syracuse,NY,13057,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.045918,-76.049853,2022-03-29,180106,2022-03-29T00:38:17,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-76.049853 43.045918),POINT(-76.049853 43.045918)
ELEC,OPVMCVETERINARY OPVMC 1,3930 N Buffalo St,,Orchard Park,NY,14127,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.776591,-78.746236,2022-03-29,185152,2022-03-29T00:38:17,,,,2021-02-18,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-78.746236 42.776591),POINT(-78.746236 42.776591)
ELEC,Icon Parking 169 W 95th Street - Tesla Destination,169  W 95th St,,New York,NY,10025,,212-749-6218  877-798-3752,E,,Public,24 hours daily; see valet for access,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.793528,-73.970240,2020-11-03,115030,2021-03-11T23:22:17,P,,,2016-05-01,,,,,J1772 TESLA,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,POINT (-73.97024 40.793528),POINT(-73.970240 40.793528)
ELEC,BEVERWYCK STATION 4,12 Hickory Dr Beverwyck,,Slingerlands,NY,12159,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.659280,-73.836850,2022-03-29,164421,2022-03-29T00:38:17,,,,2020-07-22,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,POINT (-73.83685 42.65928),POINT(-73.836850 42.659280)
